Method:,Column 1,,
Host Date-Time:,21/4/16 @ 7:29:20,,
Header Version:,1,,
System Temp hundredths:,3543,,
Detector Temp hundredths:,3617,,
Humidity hundredths:,3728,,
Lamp PD:,3764,,
Shift Vector Coefficients:,-4.47974,0.0448891,-0.000109265,,
Pixel to Wavelength Coefficients:,1792.1,-0.928226,-0.000229463,,
Serial Number:,5490239,,
Scan Config Name:,Column 1,,
Scan Config Type:,2,,
Start wavelength in nm:,900,,
End wavelength in nm:,1700,,
Pattern Pixel Width:,6,,
Number of Measurement points:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time (s):,2,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.722897,0.841122,64701.000000,9328.000000
905.903443,0.770665,80807.000000,13702.000000
909.784033,0.735506,90252.000000,16594.000000
913.660493,0.712411,98832.000000,19164.000000
917.532823,0.696226,108214.000000,21780.000000
921.401023,0.696431,120081.000000,24157.000000
925.265092,0.701390,134618.000000,26774.000000
929.125031,0.710986,152080.000000,29586.000000
932.980840,0.716696,171754.000000,32977.000000
936.832518,0.706318,192235.000000,37802.000000
941.961664,0.691080,218303.000000,44461.000000
945.803705,0.674093,236285.000000,50043.000000
949.641615,0.655494,252581.000000,55835.000000
953.475395,0.647894,268843.000000,60479.000000
957.305045,0.636147,284409.000000,65735.000000
961.130565,0.628450,300415.000000,70676.000000
964.951954,0.621292,315812.000000,75533.000000
968.769213,0.619322,331706.000000,79695.000000
972.582341,0.615568,347597.000000,84238.000000
976.391340,0.612405,362603.000000,88517.000000
981.463579,0.615041,381663.000000,92606.000000
985.262940,0.613924,394207.000000,95896.000000
989.058170,0.612941,405268.000000,98810.000000
992.849270,0.614171,414919.000000,100877.000000
996.636240,0.612511,422744.000000,103173.000000
1000.419080,0.610382,429985.000000,105456.000000
1004.197789,0.610781,435731.000000,106767.000000
1007.972367,0.607581,439787.000000,108558.000000
1011.742816,0.607854,442999.000000,109282.000000
1016.763656,0.604480,446147.000000,110917.000000
1020.524467,0.603251,447570.000000,111586.000000
1024.281147,0.603727,448137.000000,111605.000000
1028.033698,0.600849,447447.000000,112174.000000
1031.782118,0.599551,447066.000000,112414.000000
1035.526408,0.598418,446139.000000,112474.000000
1039.266567,0.596586,445335.000000,112746.000000
1043.002596,0.595337,443993.000000,112730.000000
1046.734495,0.595453,441985.000000,112190.000000
1050.462263,0.592188,439703.000000,112453.000000
1055.426196,0.592593,438747.000000,112104.000000
1059.144327,0.591301,437920.000000,112226.000000
1062.858328,0.592222,436828.000000,111709.000000
1066.568198,0.593220,436218.000000,111297.000000
1070.273938,0.590407,437019.000000,112226.000000
1073.975548,0.591088,437923.000000,112282.000000
1077.673027,0.590823,438436.000000,112482.000000
1081.366376,0.591077,439593.000000,112713.000000
1085.055595,0.592759,441201.000000,112688.000000
1089.968128,0.592461,442941.000000,113210.000000
1093.647709,0.591979,445537.000000,114000.000000
1097.323160,0.593048,448116.000000,114378.000000
1100.994481,0.592648,449422.000000,114817.000000
