Method:,Column 1,,
Host Date-Time:,21/4/16 @ 7:27:53,,
Header Version:,1,,
System Temp hundredths:,3515,,
Detector Temp hundredths:,3617,,
Humidity hundredths:,3785,,
Lamp PD:,3765,,
Shift Vector Coefficients:,-4.47974,0.0448891,-0.000109265,,
Pixel to Wavelength Coefficients:,1792.1,-0.928226,-0.000229463,,
Serial Number:,5490239,,
Scan Config Name:,Column 1,,
Scan Config Type:,2,,
Start wavelength in nm:,900,,
End wavelength in nm:,1700,,
Pattern Pixel Width:,6,,
Number of Measurement points:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time (s):,2,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
1366.810826,0.345035,803029.000000,362824.000000
1370.165488,0.351611,801212.000000,356563.000000
1373.516020,0.357382,799981.000000,351316.000000
1376.862422,0.362891,798624.000000,346299.000000
1380.204693,0.367956,795747.000000,341051.000000
1383.542834,0.373388,792504.000000,335439.000000
1386.876844,0.378788,790222.000000,330340.000000
1390.206724,0.385318,788607.000000,324745.000000
1393.532474,0.391359,785518.000000,319005.000000
1397.960382,0.399429,779920.000000,310900.000000
1401.276494,0.406912,776342.000000,304187.000000
1404.588477,0.415575,773563.000000,297112.000000
1407.896328,0.425361,769684.000000,289036.000000
1411.200050,0.438679,765635.000000,278832.000000
1414.499641,0.453451,762767.000000,268498.000000
1417.795101,0.472209,760810.000000,256488.000000
1421.086432,0.491678,758503.000000,244500.000000
1424.373632,0.513011,755935.000000,231992.000000
1428.750140,0.541707,753840.000000,216557.000000
1432.027703,0.563495,752941.000000,205715.000000
1435.301135,0.584197,751451.000000,195751.000000
1438.570437,0.603102,750582.000000,187196.000000
1441.835609,0.619957,749740.000000,179868.000000
1445.096650,0.632373,748245.000000,174450.000000
1448.353561,0.641041,747231.000000,170771.000000
1451.606342,0.647507,746115.000000,167996.000000
1454.854992,0.653282,743794.000000,165261.000000
1459.180101,0.658023,741747.000000,163017.000000
1462.419114,0.659183,739561.000000,162103.000000
1465.653997,0.660463,736862.000000,161036.000000
1468.884749,0.662634,734038.000000,159619.000000
1472.111371,0.663198,730885.000000,158727.000000
1475.333862,0.662778,727271.000000,158095.000000
1478.552224,0.662198,723938.000000,157581.000000
1481.766455,0.661604,721040.000000,157165.000000
1484.976555,0.660762,717684.000000,156737.000000
1488.182525,0.659130,713601.000000,156432.000000
1492.450728,0.655612,708541.000000,156586.000000
1495.647060,0.653487,704632.000000,156486.000000
1498.839263,0.652457,700712.000000,155985.000000
