Method:,Column 1,,
Host Date-Time:,21/4/16 @ 7:52:45,,
Header Version:,1,,
System Temp hundredths:,3547,,
Detector Temp hundredths:,3635,,
Humidity hundredths:,3688,,
Lamp PD:,3763,,
Shift Vector Coefficients:,-4.47974,0.0448891,-0.000109265,,
Pixel to Wavelength Coefficients:,1792.1,-0.928226,-0.000229463,,
Serial Number:,5490239,,
Scan Config Name:,Column 1,,
Scan Config Type:,2,,
Start wavelength in nm:,900,,
End wavelength in nm:,1700,,
Pattern Pixel Width:,6,,
Number of Measurement points:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time (s):,2,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.722897,0.581152,64701.000000,16973.000000
905.903443,0.500364,80807.000000,25532.000000
909.784033,0.449710,90252.000000,32044.000000
913.660493,0.420600,98832.000000,37523.000000
917.532823,0.411645,108214.000000,41941.000000
921.401023,0.418107,120081.000000,45853.000000
925.265092,0.422684,134618.000000,50865.000000
929.125031,0.430978,152080.000000,56376.000000
932.980840,0.431245,171754.000000,63630.000000
936.832518,0.430128,192235.000000,71401.000000
941.961664,0.416807,218303.000000,83609.000000
945.803705,0.401372,236285.000000,93770.000000
949.641615,0.388898,252581.000000,103158.000000
953.475395,0.379955,268843.000000,112084.000000
957.305045,0.371151,284409.000000,121002.000000
961.130565,0.365962,300415.000000,129348.000000
964.951954,0.361562,315812.000000,137362.000000
968.769213,0.360642,331706.000000,144581.000000
972.582341,0.360231,347597.000000,151651.000000
976.391340,0.359213,362603.000000,158569.000000
981.463579,0.357997,381663.000000,167372.000000
985.262940,0.358223,394207.000000,172783.000000
989.058170,0.358224,405268.000000,177631.000000
992.849270,0.356817,414919.000000,182451.000000
996.636240,0.356387,422744.000000,186076.000000
1000.419080,0.355727,429985.000000,189551.000000
1004.197789,0.353059,435731.000000,193268.000000
1007.972367,0.351607,439787.000000,195720.000000
1011.742816,0.349459,442999.000000,198127.000000
1016.763656,0.347853,446147.000000,200274.000000
1020.524467,0.346452,447570.000000,201562.000000
1024.281147,0.345610,448137.000000,202209.000000
1028.033698,0.343941,447447.000000,202675.000000
1031.782118,0.343227,447066.000000,202836.000000
1035.526408,0.342154,446139.000000,202916.000000
1039.266567,0.340522,445335.000000,203313.000000
1043.002596,0.339846,443993.000000,203016.000000
1046.734495,0.338125,441985.000000,202900.000000
1050.462263,0.338469,439703.000000,201693.000000
1055.426196,0.337777,438747.000000,201575.000000
1059.144327,0.337851,437920.000000,201161.000000
1062.858328,0.338588,436828.000000,200319.000000
1066.568198,0.337654,436218.000000,200470.000000
1070.273938,0.338373,437019.000000,200506.000000
1073.975548,0.339331,437923.000000,200478.000000
1077.673027,0.338341,438436.000000,201171.000000
1081.366376,0.339136,439593.000000,201333.000000
