Method:,Column 1,,
Host Date-Time:,21/4/16 @ 7:50:34,,
Header Version:,1,,
System Temp hundredths:,3537,,
Detector Temp hundredths:,3625,,
Humidity hundredths:,3708,,
Lamp PD:,3764,,
Shift Vector Coefficients:,-4.47974,0.0448891,-0.000109265,,
Pixel to Wavelength Coefficients:,1792.1,-0.928226,-0.000229463,,
Serial Number:,5490239,,
Scan Config Name:,Column 1,,
Scan Config Type:,2,,
Start wavelength in nm:,900,,
End wavelength in nm:,1700,,
Pattern Pixel Width:,6,,
Number of Measurement points:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time (s):,2,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.722897,0.477282,64701.000000,21559.000000
905.903443,0.391893,80807.000000,32776.000000
909.784033,0.344499,90252.000000,40828.000000
913.660493,0.315170,98832.000000,47833.000000
917.532823,0.309811,108214.000000,53024.000000
921.401023,0.310585,120081.000000,58734.000000
925.265092,0.318004,134618.000000,64729.000000
929.125031,0.325464,152080.000000,71880.000000
932.980840,0.330235,171754.000000,80292.000000
936.832518,0.327702,192235.000000,90392.000000
941.961664,0.314147,218303.000000,105904.000000
945.803705,0.301757,236285.000000,117945.000000
949.641615,0.289293,252581.000000,129750.000000
953.475395,0.278521,268843.000000,141572.000000
957.305045,0.271323,284409.000000,152272.000000
961.130565,0.267087,300415.000000,162418.000000
964.951954,0.264269,315812.000000,171854.000000
968.769213,0.261874,331706.000000,181501.000000
972.582341,0.261268,347597.000000,190462.000000
976.391340,0.261059,362603.000000,198780.000000
981.463579,0.261185,381663.000000,209168.000000
985.262940,0.261033,394207.000000,216118.000000
989.058170,0.260365,405268.000000,222524.000000
992.849270,0.258853,414919.000000,228618.000000
996.636240,0.258688,422744.000000,233018.000000
1000.419080,0.257472,429985.000000,237674.000000
1004.197789,0.255478,435731.000000,241958.000000
1007.972367,0.254422,439787.000000,244805.000000
1011.742816,0.252077,442999.000000,247928.000000
1016.763656,0.250197,446147.000000,250773.000000
1020.524467,0.248548,447570.000000,252530.000000
1024.281147,0.248378,448137.000000,252949.000000
1028.033698,0.246784,447447.000000,253488.000000
1031.782118,0.245892,447066.000000,253793.000000
1035.526408,0.243598,446139.000000,254608.000000
1039.266567,0.243122,445335.000000,254428.000000
1043.002596,0.242537,443993.000000,254003.000000
1046.734495,0.241836,441985.000000,253263.000000
1050.462263,0.240970,439703.000000,252458.000000
1055.426196,0.240683,438747.000000,252076.000000
1059.144327,0.239991,437920.000000,252002.000000
1062.858328,0.239816,436828.000000,251475.000000
1066.568198,0.240511,436218.000000,250722.000000
1070.273938,0.241270,437019.000000,250744.000000
