Method:,Column 1,,
Host Date-Time:,18/4/16 @ 16:48:11,,
Header Version:,1,,
System Temp hundredths:,3280,,
Detector Temp hundredths:,3045,,
Humidity hundredths:,1317,,
Lamp PD:,3764,,
Shift Vector Coefficients:,-4.47974,0.0448891,-0.000109265,,
Pixel to Wavelength Coefficients:,1792.1,-0.928226,-0.000229463,,
Serial Number:,5490239,,
Scan Config Name:,Column 1,,
Scan Config Type:,2,,
Start wavelength in nm:,900,,
End wavelength in nm:,1700,,
Pattern Pixel Width:,6,,
Number of Measurement points:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time (s):,2,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.722897,0.564314,64701.000000,17644.000000
905.903443,0.475410,80807.000000,27042.000000
909.784033,0.422206,90252.000000,34139.000000
913.660493,0.390747,98832.000000,40193.000000
917.532823,0.375938,108214.000000,45535.000000
921.401023,0.378096,120081.000000,50278.000000
925.265092,0.384505,134618.000000,55539.000000
929.125031,0.386985,152080.000000,62386.000000
932.980840,0.392753,171754.000000,69527.000000
936.832518,0.385590,192235.000000,79112.000000
941.961664,0.368587,218303.000000,93427.000000
945.803705,0.356917,236285.000000,103877.000000
949.641615,0.342883,252581.000000,114688.000000
953.475395,0.334602,268843.000000,124422.000000
957.305045,0.327708,284409.000000,133732.000000
961.130565,0.322653,300415.000000,142912.000000
964.951954,0.318555,315812.000000,151661.000000
968.769213,0.315273,331706.000000,160502.000000
972.582341,0.313879,347597.000000,168732.000000
976.391340,0.311544,362603.000000,176965.000000
981.463579,0.309321,381663.000000,187223.000000
985.262940,0.306881,394207.000000,194466.000000
989.058170,0.304151,405268.000000,201183.000000
992.849270,0.301358,414919.000000,207303.000000
996.636240,0.299107,422744.000000,212310.000000
1000.419080,0.296942,429985.000000,217026.000000
1004.197789,0.294200,435731.000000,221319.000000
1007.972367,0.291483,439787.000000,224781.000000
1011.742816,0.290205,442999.000000,227090.000000
1016.763656,0.286979,446147.000000,230409.000000
1020.524467,0.285609,447570.000000,231874.000000
1024.281147,0.283247,448137.000000,233434.000000
1028.033698,0.281747,447447.000000,233881.000000
1031.782118,0.281165,447066.000000,233995.000000
1035.526408,0.280356,446139.000000,233945.000000
1039.266567,0.277802,445335.000000,234901.000000
1043.002596,0.276798,443993.000000,234735.000000
1046.734495,0.275596,441985.000000,234321.000000
1050.462263,0.273582,439703.000000,234195.000000
1055.426196,0.273149,438747.000000,233919.000000
1059.144327,0.271198,437920.000000,234529.000000
1062.858328,0.272079,436828.000000,233470.000000
1066.568198,0.271640,436218.000000,233380.000000
1070.273938,0.271153,437019.000000,234071.000000
1073.975548,0.270345,437923.000000,234992.000000
1077.673027,0.270561,438436.000000,235150.000000
1081.366376,0.270045,439593.000000,236051.000000
1085.055595,0.269817,441201.000000,237039.000000
1089.968128,0.268705,442941.000000,238584.000000
1093.647709,0.268890,445537.000000,239880.000000
1097.323160,0.268153,448116.000000,241678.000000
1100.994481,0.267502,449422.000000,242746.000000
1104.661671,0.266084,451109.000000,244454.000000
1108.324731,0.266359,453992.000000,245861.000000
1111.983661,0.265419,457203.000000,248136.000000
1115.638460,0.264326,459746.000000,250145.000000
1119.289129,0.264455,461686.000000,251126.000000
1124.150263,0.264374,463762.000000,252302.000000
1127.791294,0.264286,465594.000000,253350.000000
1131.428195,0.264782,467340.000000,254010.000000
1135.060966,0.265674,468769.000000,254264.000000
1138.689607,0.267308,470277.000000,254124.000000
1142.314117,0.269411,471885.000000,253761.000000
1145.934497,0.272458,474025.000000,253130.000000
1149.550746,0.275304,475849.000000,252444.000000
1153.162866,0.279556,477793.000000,251006.000000
1156.770855,0.285137,479500.000000,248686.000000
1161.575081,0.291507,482364.000000,246529.000000
1165.173433,0.295776,485131.000000,245518.000000
1168.767654,0.301867,488511.000000,243785.000000
1172.357745,0.306589,491250.000000,242501.000000
1175.943705,0.311231,494537.000000,241528.000000
1179.525536,0.313819,498615.000000,242073.000000
1183.103235,0.319643,504468.000000,241652.000000
1186.676805,0.324789,510422.000000,241624.000000
1190.246244,0.330024,516637.000000,241636.000000
1194.999071,0.337866,526142.000000,241678.000000
1198.558873,0.343230,533671.000000,242127.000000
1202.114544,0.347431,540939.000000,243062.000000
1205.666086,0.350906,548916.000000,244681.000000
1209.213496,0.353858,558110.000000,247094.000000
1212.756777,0.356139,566953.000000,249694.000000
1216.295927,0.357749,575650.000000,252586.000000
1219.830947,0.356864,584869.000000,257155.000000
1223.361836,0.353715,595021.000000,263522.000000
1226.888595,0.347238,604954.000000,271947.000000
1231.584516,0.339294,617050.000000,282505.000000
1235.101637,0.331243,626559.000000,292226.000000
1238.614629,0.325555,636932.000000,300980.000000
1242.123490,0.320227,647247.000000,309630.000000
1245.628220,0.315407,655372.000000,317016.000000
1249.128821,0.311346,664642.000000,324520.000000
1252.625291,0.307932,674555.000000,331960.000000
1256.117630,0.305420,684692.000000,338903.000000
1259.605840,0.302884,692978.000000,345013.000000
1264.250361,0.301815,706063.000000,352394.000000
1267.728933,0.300015,716021.000000,358848.000000
1271.203374,0.298766,725552.000000,364672.000000
1274.673686,0.297424,734127.000000,370124.000000
1278.139867,0.296288,742906.000000,375531.000000
1281.601917,0.294923,750480.000000,380554.000000
1285.059838,0.294531,757621.000000,384522.000000
1288.513627,0.292980,764167.000000,389232.000000
1291.963287,0.292221,771928.000000,393873.000000
1296.556408,0.290885,779372.000000,398896.000000
1299.996431,0.290015,783046.000000,401580.000000
1303.432322,0.288570,787236.000000,405075.000000
1306.864084,0.288930,792393.000000,407390.000000
1310.291715,0.287838,796376.000000,410469.000000
1313.715216,0.287707,798307.000000,411588.000000
1317.134587,0.287834,801175.000000,412946.000000
1320.549827,0.288248,804861.000000,414451.000000
1323.960937,0.288471,807833.000000,415768.000000
1327.367917,0.289341,809608.000000,415847.000000
1331.904131,0.291214,811327.000000,414937.000000
1335.301473,0.292368,812775.000000,414574.000000
1338.694685,0.294534,813544.000000,412902.000000
1342.083767,0.295986,812602.000000,411047.000000
1345.468718,0.298341,811826.000000,408434.000000
1348.849539,0.301215,811585.000000,405620.000000
1352.226229,0.304321,810158.000000,402021.000000
1355.598789,0.307640,807876.000000,397837.000000
1358.967219,0.311065,805252.000000,393429.000000
1363.452034,0.316573,804229.000000,387978.000000
1366.810826,0.321310,803029.000000,383196.000000
1370.165488,0.326536,801212.000000,377756.000000
1373.516020,0.331523,799981.000000,372869.000000
1376.862422,0.336770,798624.000000,367767.000000
1380.204693,0.341126,795747.000000,362785.000000
1383.542834,0.346317,792504.000000,357013.000000
1386.876844,0.353204,790222.000000,350385.000000
1390.206724,0.360057,788607.000000,344194.000000
1393.532474,0.367471,785518.000000,337043.000000
1397.960382,0.378188,779920.000000,326484.000000
1401.276494,0.386683,776342.000000,318691.000000
1404.588477,0.395127,773563.000000,311436.000000
1407.896328,0.403038,769684.000000,304281.000000
1411.200050,0.413012,765635.000000,295808.000000
1414.499641,0.423813,762767.000000,287461.000000
1417.795101,0.435960,760810.000000,278815.000000
1421.086432,0.447057,758503.000000,270957.000000
1424.373632,0.458502,755935.000000,263016.000000
1428.750140,0.472457,753840.000000,253993.000000
1432.027703,0.481017,752941.000000,248739.000000
1435.301135,0.490482,751451.000000,242895.000000
1438.570437,0.497888,750582.000000,238512.000000
1441.835609,0.504427,749740.000000,234684.000000
1445.096650,0.509926,748245.000000,231269.000000
1448.353561,0.514474,747231.000000,228550.000000
1451.606342,0.519750,746115.000000,225453.000000
1454.854992,0.522331,743794.000000,223420.000000
1459.180101,0.525816,741747.000000,221024.000000
1462.419114,0.527433,739561.000000,219554.000000
1465.653997,0.529416,736862.000000,217756.000000
1468.884749,0.530712,734038.000000,216275.000000
1472.111371,0.531952,730885.000000,214732.000000
1475.333862,0.533150,727271.000000,213082.000000
1478.552224,0.534490,723938.000000,211452.000000
1481.766455,0.535583,721040.000000,210076.000000
1484.976555,0.535326,717684.000000,209222.000000
1488.182525,0.535896,713601.000000,207759.000000
1492.450728,0.535573,708541.000000,206439.000000
1495.647060,0.536240,704632.000000,204985.000000
1498.839263,0.535046,700712.000000,204406.000000
1502.027335,0.532829,695967.000000,204061.000000
1505.211277,0.531623,691038.000000,203179.000000
1508.391088,0.530026,686052.000000,202456.000000
1511.566770,0.526826,680877.000000,202415.000000
1514.738321,0.525454,675427.000000,201430.000000
1517.905741,0.523661,670152.000000,200684.000000
1522.122544,0.519716,662097.000000,200081.000000
1525.280327,0.517239,656403.000000,199495.000000
1528.433979,0.514014,650810.000000,199269.000000
1531.583502,0.511308,644842.000000,198676.000000
1534.728894,0.509243,638224.000000,197574.000000
1537.870156,0.506387,631155.000000,196675.000000
1541.007287,0.503073,625001.000000,196249.000000
1544.140289,0.501260,618097.000000,194893.000000
1547.269159,0.499227,610689.000000,193461.000000
1550.393900,0.496902,602954.000000,192036.000000
1554.553796,0.494273,592300.000000,189788.000000
1557.668899,0.492069,584592.000000,188271.000000
1560.779871,0.490662,576368.000000,186225.000000
1563.886714,0.488597,568025.000000,184404.000000
1566.989426,0.486906,559352.000000,182297.000000
1570.088008,0.485898,550305.000000,179765.000000
1573.182459,0.485233,541598.000000,177192.000000
