Method:,Column 1,,
Host Date-Time:,18/4/16 @ 16:45:50,,
Header Version:,1,,
System Temp hundredths:,3224,,
Detector Temp hundredths:,2998,,
Humidity hundredths:,1389,,
Lamp PD:,3769,,
Shift Vector Coefficients:,-4.47974,0.0448891,-0.000109265,,
Pixel to Wavelength Coefficients:,1792.1,-0.928226,-0.000229463,,
Serial Number:,5490239,,
Scan Config Name:,Column 1,,
Scan Config Type:,2,,
Start wavelength in nm:,900,,
End wavelength in nm:,1700,,
Pattern Pixel Width:,6,,
Number of Measurement points:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time (s):,2,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.722897,0.838338,64701.000000,9388.000000
905.903443,0.768673,80807.000000,13765.000000
909.784033,0.716934,90252.000000,17319.000000
913.660493,0.691313,98832.000000,20118.000000
917.532823,0.674638,108214.000000,22890.000000
921.401023,0.676852,120081.000000,25271.000000
925.265092,0.691701,134618.000000,27378.000000
929.125031,0.693930,152080.000000,30771.000000
932.980840,0.700437,171754.000000,34235.000000
936.832518,0.700849,192235.000000,38281.000000
941.961664,0.682530,218303.000000,45345.000000
945.803705,0.674084,236285.000000,50044.000000
949.641615,0.667041,252581.000000,54370.000000
953.475395,0.656342,268843.000000,59314.000000
957.305045,0.654968,284409.000000,62947.000000
961.130565,0.650857,300415.000000,67122.000000
964.951954,0.655760,315812.000000,69770.000000
968.769213,0.656402,331706.000000,73173.000000
972.582341,0.660160,347597.000000,76018.000000
976.391340,0.662712,362603.000000,78835.000000
981.463579,0.667781,381663.000000,82016.000000
985.262940,0.670242,394207.000000,84233.000000
989.058170,0.673002,405268.000000,86048.000000
992.849270,0.673886,414919.000000,87918.000000
996.636240,0.673697,422744.000000,89615.000000
1000.419080,0.676526,429985.000000,90558.000000
1004.197789,0.675393,435731.000000,92008.000000
1007.972367,0.671012,439787.000000,93806.000000
1011.742816,0.670865,442999.000000,94523.000000
1016.763656,0.668534,446147.000000,95707.000000
1020.524467,0.666725,447570.000000,96413.000000
1024.281147,0.664867,448137.000000,96949.000000
1028.033698,0.663594,447447.000000,97084.000000
1031.782118,0.661002,447066.000000,97582.000000
1035.526408,0.660840,446139.000000,97416.000000
1039.266567,0.658641,445335.000000,97734.000000
1043.002596,0.657237,443993.000000,97755.000000
1046.734495,0.656131,441985.000000,97561.000000
1050.462263,0.655578,439703.000000,97181.000000
1055.426196,0.653851,438747.000000,97356.000000
1059.144327,0.653653,437920.000000,97217.000000
1062.858328,0.651261,436828.000000,97510.000000
1066.568198,0.651693,436218.000000,97277.000000
1070.273938,0.653111,437019.000000,97138.000000
1073.975548,0.651006,437923.000000,97812.000000
1077.673027,0.651257,438436.000000,97870.000000
1081.366376,0.651949,439593.000000,97972.000000
1085.055595,0.652967,441201.000000,98100.000000
1089.968128,0.649926,442941.000000,99179.000000
1093.647709,0.648688,445537.000000,100045.000000
1097.323160,0.651108,448116.000000,100065.000000
1100.994481,0.649526,449422.000000,100723.000000
1104.661671,0.648248,451109.000000,101399.000000
1108.324731,0.648512,453992.000000,101985.000000
1111.983661,0.649258,457203.000000,102530.000000
1115.638460,0.648922,459746.000000,103180.000000
1119.289129,0.648254,461686.000000,103775.000000
1124.150263,0.649128,463762.000000,104032.000000
1127.791294,0.648057,465594.000000,104701.000000
1131.428195,0.648572,467340.000000,104969.000000
1135.060966,0.652808,468769.000000,104268.000000
1138.689607,0.655487,470277.000000,103960.000000
1142.314117,0.661421,471885.000000,102900.000000
1145.934497,0.669506,474025.000000,101460.000000
1149.550746,0.673638,475849.000000,100886.000000
1153.162866,0.685737,477793.000000,98515.000000
1156.770855,0.694089,479500.000000,96984.000000
1161.575081,0.707654,482364.000000,94563.000000
1165.173433,0.717843,485131.000000,92900.000000
1168.767654,0.729408,488511.000000,91089.000000
1172.357745,0.738995,491250.000000,89600.000000
1175.943705,0.749060,494537.000000,88133.000000
1179.525536,0.758626,498615.000000,86924.000000
1183.103235,0.768184,504468.000000,86030.000000
1186.676805,0.779887,510422.000000,84731.000000
1190.246244,0.787879,516637.000000,84199.000000
1194.999071,0.798897,526142.000000,83600.000000
1198.558873,0.808107,533671.000000,83017.000000
1202.114544,0.812801,540939.000000,83243.000000
1205.666086,0.820177,548916.000000,83048.000000
1209.213496,0.821836,558110.000000,84117.000000
1212.756777,0.823291,566953.000000,85164.000000
1216.295927,0.823901,575650.000000,86349.000000
1219.830947,0.820277,584869.000000,88467.000000
1223.361836,0.816470,595021.000000,90795.000000
1226.888595,0.811645,604954.000000,93342.000000
1231.584516,0.802721,617050.000000,97185.000000
1235.101637,0.795852,626559.000000,100256.000000
1238.614629,0.791661,636932.000000,102904.000000
1242.123490,0.784406,647247.000000,106332.000000
1245.628220,0.780638,655372.000000,108605.000000
1249.128821,0.779654,664642.000000,110391.000000
1252.625291,0.774029,674555.000000,113498.000000
1256.117630,0.772402,684692.000000,115636.000000
1259.605840,0.770974,692978.000000,117421.000000
1264.250361,0.769112,706063.000000,120152.000000
1267.728933,0.769803,716021.000000,121653.000000
1271.203374,0.768910,725552.000000,123526.000000
1274.673686,0.767647,734127.000000,125350.000000
1278.139867,0.764906,742906.000000,127652.000000
1281.601917,0.761971,750480.000000,129828.000000
1285.059838,0.762075,757621.000000,131032.000000
1288.513627,0.760802,764167.000000,132552.000000
1291.963287,0.759640,771928.000000,134257.000000
1296.556408,0.757628,779372.000000,136181.000000
1299.996431,0.756326,783046.000000,137234.000000
1303.432322,0.757281,787236.000000,137665.000000
1306.864084,0.756839,792393.000000,138708.000000
1310.291715,0.756083,796376.000000,139648.000000
1313.715216,0.758222,798307.000000,139299.000000
1317.134587,0.758783,801175.000000,139619.000000
1320.549827,0.760926,804861.000000,139571.000000
1323.960937,0.764601,807833.000000,138906.000000
1327.367917,0.768903,809608.000000,137839.000000
1331.904131,0.775331,811327.000000,136102.000000
1335.301473,0.781739,812775.000000,134348.000000
1338.694685,0.787510,813544.000000,132700.000000
1342.083767,0.793436,812602.000000,130750.000000
1345.468718,0.802338,811826.000000,127975.000000
1348.849539,0.811646,811585.000000,125224.000000
1352.226229,0.822021,810158.000000,122053.000000
1355.598789,0.829222,807876.000000,119708.000000
1358.967219,0.839352,805252.000000,116568.000000
1363.452034,0.851480,804229.000000,113214.000000
1366.810826,0.863031,803029.000000,110078.000000
1370.165488,0.872319,801212.000000,107505.000000
1373.516020,0.879564,799981.000000,105564.000000
1376.862422,0.889396,798624.000000,103026.000000
1380.204693,0.900588,795747.000000,100043.000000
1383.542834,0.908711,792504.000000,97789.000000
1386.876844,0.919765,790222.000000,95057.000000
1390.206724,0.934828,788607.000000,91629.000000
1393.532474,0.948891,785518.000000,88362.000000
1397.960382,0.970697,779920.000000,83436.000000
1401.276494,0.992184,776342.000000,79044.000000
1404.588477,1.014060,773563.000000,74892.000000
1407.896328,1.043978,769684.000000,69556.000000
1411.200050,1.068969,765635.000000,65321.000000
1414.499641,1.097005,762767.000000,61008.000000
1417.795101,1.131617,760810.000000,56190.000000
1421.086432,1.155599,758503.000000,53010.000000
1424.373632,1.182749,755935.000000,49629.000000
1428.750140,1.215211,753840.000000,45927.000000
1432.027703,1.235168,752941.000000,43812.000000
1435.301135,1.250918,751451.000000,42168.000000
1438.570437,1.269501,750582.000000,40355.000000
1441.835609,1.280109,749740.000000,39337.000000
