Method:,Column 1,,
Host Date-Time:,18/4/16 @ 16:44:3,,
Header Version:,1,,
System Temp hundredths:,3187,,
Detector Temp hundredths:,2970,,
Humidity hundredths:,1456,,
Lamp PD:,3769,,
Shift Vector Coefficients:,-4.47974,0.0448891,-0.000109265,,
Pixel to Wavelength Coefficients:,1792.1,-0.928226,-0.000229463,,
Serial Number:,5490239,,
Scan Config Name:,Column 1,,
Scan Config Type:,2,,
Start wavelength in nm:,900,,
End wavelength in nm:,1700,,
Pattern Pixel Width:,6,,
Number of Measurement points:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time (s):,2,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.722897,0.577027,64701.000000,17135.000000
905.903443,0.489081,80807.000000,26204.000000
909.784033,0.451748,90252.000000,31894.000000
913.660493,0.422851,98832.000000,37329.000000
917.532823,0.412567,108214.000000,41852.000000
921.401023,0.419653,120081.000000,45690.000000
925.265092,0.426836,134618.000000,50381.000000
929.125031,0.429240,152080.000000,56602.000000
932.980840,0.429257,171754.000000,63922.000000
936.832518,0.425061,192235.000000,72239.000000
941.961664,0.413335,218303.000000,84280.000000
945.803705,0.400424,236285.000000,93975.000000
949.641615,0.387674,252581.000000,103449.000000
953.475395,0.381488,268843.000000,111689.000000
957.305045,0.375135,284409.000000,119897.000000
961.130565,0.373146,300415.000000,127226.000000
964.951954,0.369787,315812.000000,134785.000000
968.769213,0.369948,331706.000000,141516.000000
972.582341,0.369543,347597.000000,148434.000000
976.391340,0.369492,362603.000000,154860.000000
981.463579,0.369938,381663.000000,162833.000000
985.262940,0.369078,394207.000000,168518.000000
989.058170,0.368390,405268.000000,173521.000000
992.849270,0.368388,414919.000000,177654.000000
996.636240,0.367323,422744.000000,181449.000000
1000.419080,0.367259,429985.000000,184584.000000
1004.197789,0.366148,435731.000000,187530.000000
1007.972367,0.363612,439787.000000,190384.000000
1011.742816,0.362381,442999.000000,192319.000000
1016.763656,0.361242,446147.000000,194194.000000
1020.524467,0.359310,447570.000000,195682.000000
1024.281147,0.358798,448137.000000,196161.000000
1028.033698,0.358237,447447.000000,196112.000000
