Method:,Column 1,,
Host Date-Time:,18/4/16 @ 16:50:50,,
Header Version:,1,,
System Temp hundredths:,3324,,
Detector Temp hundredths:,3116,,
Humidity hundredths:,1278,,
Lamp PD:,3767,,
Shift Vector Coefficients:,-4.47974,0.0448891,-0.000109265,,
Pixel to Wavelength Coefficients:,1792.1,-0.928226,-0.000229463,,
Serial Number:,5490239,,
Scan Config Name:,Column 1,,
Scan Config Type:,2,,
Start wavelength in nm:,900,,
End wavelength in nm:,1700,,
Pattern Pixel Width:,6,,
Number of Measurement points:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time (s):,2,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.722897,0.455421,64701.000000,22672.000000
905.903443,0.372319,80807.000000,34287.000000
909.784033,0.329034,90252.000000,42308.000000
913.660493,0.302359,98832.000000,49265.000000
917.532823,0.290311,108214.000000,55459.000000
921.401023,0.295000,120081.000000,60880.000000
925.265092,0.300521,134618.000000,67388.000000
929.125031,0.308711,152080.000000,74707.000000
932.980840,0.312249,171754.000000,83687.000000
936.832518,0.309828,192235.000000,94190.000000
941.961664,0.298833,218303.000000,109705.000000
945.803705,0.289350,236285.000000,121363.000000
949.641615,0.278761,252581.000000,132935.000000
953.475395,0.270916,268843.000000,144073.000000
957.305045,0.266877,284409.000000,153839.000000
961.130565,0.265007,300415.000000,163198.000000
964.951954,0.263022,315812.000000,172348.000000
968.769213,0.265312,331706.000000,180070.000000
972.582341,0.264835,347597.000000,188904.000000
976.391340,0.265554,362603.000000,196733.000000
981.463579,0.267933,381663.000000,205943.000000
985.262940,0.268047,394207.000000,212656.000000
989.058170,0.269156,405268.000000,218065.000000
992.849270,0.268449,414919.000000,223622.000000
996.636240,0.269438,422744.000000,227321.000000
1000.419080,0.266989,429985.000000,232522.000000
1004.197789,0.266708,435731.000000,235782.000000
1007.972367,0.264291,439787.000000,239305.000000
1011.742816,0.263457,442999.000000,241516.000000
1016.763656,0.261185,446147.000000,244508.000000
1020.524467,0.261606,447570.000000,245050.000000
1024.281147,0.259943,448137.000000,246302.000000
1028.033698,0.259392,447447.000000,246235.000000
1031.782118,0.258254,447066.000000,246671.000000
1035.526408,0.257401,446139.000000,246643.000000
1039.266567,0.256671,445335.000000,246613.000000
1043.002596,0.255133,443993.000000,246742.000000
1046.734495,0.254875,441985.000000,245772.000000
1050.462263,0.253196,439703.000000,245450.000000
1055.426196,0.253107,438747.000000,244967.000000
1059.144327,0.253278,437920.000000,244409.000000
1062.858328,0.252942,436828.000000,243988.000000
1066.568198,0.254185,436218.000000,242951.000000
1070.273938,0.253698,437019.000000,243670.000000
